Driver,Stint,Compound,PitLap,StintLength
ALO,1.0,SOFT,33.0,33
ALO,2.0,MEDIUM,71.0,38
BOT,1.0,SOFT,31.0,31
BOT,2.0,MEDIUM,67.0,36
BOT,3.0,SOFT,72.0,5
GAS,1.0,SOFT,24.0,24
GAS,2.0,MEDIUM,71.0,47
GIO,1.0,SOFT,27.0,27
GIO,2.0,MEDIUM,33.0,6
GIO,3.0,HARD,70.0,37
HAM,1.0,SOFT,20.0,20
HAM,2.0,MEDIUM,39.0,19
HAM,3.0,MEDIUM,70.0,31
HAM,4.0,SOFT,72.0,2
KUB,1.0,MEDIUM,40.0,40
KUB,2.0,HARD,70.0,30
LAT,1.0,MEDIUM,23.0,23
LAT,2.0,HARD,70.0,47
LEC,1.0,SOFT,34.0,34
LEC,2.0,HARD,71.0,37
MAZ,1.0,MEDIUM,33.0,33
MAZ,2.0,HARD,41.0,8
MSC,1.0,SOFT,4.0,4
MSC,2.0,HARD,30.0,26
MSC,3.0,MEDIUM,69.0,39
NOR,1.0,MEDIUM,42.0,42
NOR,2.0,HARD,71.0,29
OCO,1.0,SOFT,31.0,31
OCO,2.0,MEDIUM,71.0,40
PER,1.0,HARD,8.0,8
PER,2.0,MEDIUM,47.0,39
PER,3.0,SOFT,71.0,24
RIC,1.0,SOFT,30.0,30
RIC,2.0,HARD,71.0,41
RUS,1.0,MEDIUM,27.0,27
RUS,2.0,HARD,68.0,41
RUS,3.0,SOFT,69.0,1
SAI,1.0,SOFT,31.0,31
SAI,2.0,HARD,71.0,40
STR,1.0,SOFT,27.0,27
STR,2.0,HARD,70.0,43
TSU,1.0,SOFT,31.0,31
TSU,2.0,MEDIUM,48.0,17
VER,1.0,SOFT,21.0,21
VER,2.0,MEDIUM,40.0,19
VER,3.0,HARD,72.0,32
VET,1.0,SOFT,10.0,10
VET,2.0,HARD,44.0,34
VET,3.0,MEDIUM,70.0,26
ALB,1.0,MEDIUM,21.0,21
ALB,2.0,MEDIUM,42.0,21
ALB,3.0,HARD,55.0,13
ALB,4.0,SOFT,56.0,1
ALB,5.0,SOFT,72.0,16
ALO,1.0,SOFT,12.0,12
ALO,2.0,HARD,47.0,35
ALO,3.0,SOFT,57.0,10
ALO,4.0,SOFT,72.0,15
BOT,1.0,SOFT,16.0,16
BOT,2.0,SOFT,34.0,18
BOT,3.0,MEDIUM,54.0,20
GAS,1.0,SOFT,11.0,11
GAS,2.0,MEDIUM,32.0,21
GAS,3.0,HARD,56.0,24
GAS,4.0,SOFT,57.0,1
GAS,5.0,SOFT,72.0,15
HAM,1.0,MEDIUM,29.0,29
HAM,2.0,HARD,48.0,19
HAM,3.0,MEDIUM,57.0,9
HAM,4.0,MEDIUM,72.0,15
LAT,1.0,SOFT,13.0,13
LAT,2.0,MEDIUM,26.0,13
LAT,3.0,HARD,54.0,28
LAT,4.0,SOFT,55.0,1
LAT,5.0,SOFT,71.0,16
LEC,1.0,SOFT,17.0,17
LEC,2.0,MEDIUM,45.0,28
LEC,3.0,HARD,56.0,11
LEC,4.0,SOFT,57.0,1
LEC,5.0,SOFT,72.0,15
MAG,1.0,MEDIUM,14.0,14
MAG,2.0,MEDIUM,34.0,20
MAG,3.0,HARD,47.0,13
MAG,4.0,SOFT,56.0,9
MAG,5.0,SOFT,72.0,16
MSC,1.0,MEDIUM,13.0,13
MSC,2.0,MEDIUM,33.0,20
MSC,3.0,HARD,47.0,14
MSC,4.0,SOFT,56.0,9
MSC,5.0,SOFT,72.0,16
NOR,1.0,MEDIUM,17.0,17
NOR,2.0,HARD,47.0,30
NOR,3.0,SOFT,57.0,10
NOR,4.0,SOFT,72.0,15
OCO,1.0,SOFT,18.0,18
OCO,2.0,HARD,56.0,38
OCO,3.0,SOFT,57.0,1
OCO,4.0,SOFT,72.0,15
PER,1.0,SOFT,14.0,14
PER,2.0,MEDIUM,40.0,26
PER,3.0,HARD,56.0,16
PER,4.0,MEDIUM,57.0,1
PER,5.0,MEDIUM,72.0,15
RIC,1.0,SOFT,11.0,11
RIC,2.0,MEDIUM,27.0,16
RIC,3.0,HARD,47.0,20
RIC,4.0,SOFT,55.0,8
RIC,5.0,SOFT,56.0,1
RIC,6.0,SOFT,72.0,16
RUS,1.0,MEDIUM,31.0,31
RUS,2.0,HARD,48.0,17
RUS,3.0,MEDIUM,57.0,9
RUS,4.0,SOFT,72.0,15
SAI,1.0,SOFT,14.0,14
SAI,2.0,MEDIUM,43.0,29
SAI,3.0,HARD,57.0,14
SAI,4.0,SOFT,72.0,15
STR,1.0,SOFT,16.0,16
STR,2.0,MEDIUM,38.0,22
STR,3.0,HARD,56.0,18
STR,4.0,SOFT,57.0,1
STR,5.0,SOFT,72.0,15
TSU,1.0,SOFT,13.0,13
TSU,2.0,MEDIUM,42.0,29
TSU,3.0,HARD,43.0,1
VER,1.0,SOFT,18.0,18
VER,2.0,MEDIUM,48.0,30
VER,3.0,HARD,56.0,8
VER,4.0,SOFT,57.0,1
VER,5.0,SOFT,72.0,15
VET,1.0,SOFT,9.0,9
VET,2.0,MEDIUM,35.0,26
VET,3.0,HARD,48.0,13
VET,4.0,SOFT,56.0,8
VET,5.0,SOFT,72.0,16
ZHO,1.0,SOFT,12.0,12
ZHO,2.0,SOFT,37.0,25
ZHO,3.0,MEDIUM,55.0,18
ZHO,4.0,SOFT,56.0,1
ZHO,5.0,SOFT,72.0,16
ALB,1.0,SOFT,44.0,44
ALB,2.0,MEDIUM,61.0,17
ALB,3.0,INTERMEDIATE,63.0,2
ALB,4.0,INTERMEDIATE,64.0,1
ALB,5.0,INTERMEDIATE,72.0,8
ALO,1.0,SOFT,2.0,2
ALO,2.0,INTERMEDIATE,10.0,8
ALO,3.0,SOFT,48.0,38
ALO,4.0,SOFT,61.0,13
ALO,5.0,INTERMEDIATE,64.0,3
ALO,6.0,INTERMEDIATE,72.0,8
BOT,1.0,SOFT,16.0,16
BOT,2.0,MEDIUM,47.0,31
BOT,3.0,SOFT,59.0,12
BOT,4.0,INTERMEDIATE,63.0,4
BOT,5.0,INTERMEDIATE,64.0,1
BOT,6.0,INTERMEDIATE,72.0,8
GAS,1.0,SOFT,1.0,1
GAS,2.0,INTERMEDIATE,11.0,10
GAS,3.0,SOFT,46.0,35
GAS,4.0,SOFT,60.0,14
GAS,5.0,INTERMEDIATE,64.0,4
GAS,6.0,INTERMEDIATE,72.0,8
HAM,1.0,MEDIUM,3.0,3
HAM,2.0,INTERMEDIATE,9.0,6
HAM,3.0,SOFT,45.0,36
HAM,4.0,SOFT,60.0,15
HAM,5.0,INTERMEDIATE,64.0,4
HAM,6.0,INTERMEDIATE,72.0,8
HUL,1.0,SOFT,16.0,16
HUL,2.0,MEDIUM,48.0,32
HUL,3.0,SOFT,60.0,12
HUL,4.0,INTERMEDIATE,63.0,3
HUL,5.0,INTERMEDIATE,64.0,1
HUL,6.0,INTERMEDIATE,72.0,8
LAW,1.0,SOFT,1.0,1
LAW,2.0,INTERMEDIATE,10.0,9
LAW,3.0,SOFT,17.0,7
LAW,4.0,MEDIUM,46.0,29
LAW,5.0,SOFT,59.0,13
LAW,6.0,INTERMEDIATE,63.0,4
LAW,7.0,INTERMEDIATE,64.0,1
LAW,8.0,INTERMEDIATE,72.0,8
LEC,1.0,SOFT,1.0,1
LEC,2.0,INTERMEDIATE,11.0,10
LEC,3.0,SOFT,41.0,30
MAG,1.0,SOFT,1.0,1
MAG,2.0,INTERMEDIATE,9.0,8
MAG,3.0,SOFT,35.0,26
MAG,4.0,MEDIUM,60.0,25
MAG,5.0,INTERMEDIATE,63.0,3
MAG,6.0,INTERMEDIATE,64.0,1
MAG,7.0,INTERMEDIATE,72.0,8
NOR,1.0,SOFT,3.0,3
NOR,2.0,INTERMEDIATE,10.0,7
NOR,3.0,SOFT,42.0,32
NOR,4.0,SOFT,60.0,18
NOR,5.0,INTERMEDIATE,63.0,3
NOR,6.0,INTERMEDIATE,64.0,1
NOR,7.0,INTERMEDIATE,72.0,8
OCO,1.0,SOFT,2.0,2
OCO,2.0,INTERMEDIATE,10.0,8
OCO,3.0,SOFT,43.0,33
OCO,4.0,SOFT,61.0,18
OCO,5.0,WET,63.0,2
OCO,6.0,INTERMEDIATE,64.0,1
OCO,7.0,INTERMEDIATE,72.0,8
PER,1.0,SOFT,1.0,1
PER,2.0,INTERMEDIATE,12.0,11
PER,3.0,SOFT,45.0,33
PER,4.0,SOFT,60.0,15
PER,5.0,INTERMEDIATE,63.0,3
PER,6.0,INTERMEDIATE,64.0,1
PER,7.0,INTERMEDIATE,72.0,8
PIA,1.0,SOFT,15.0,15
PIA,2.0,SOFT,46.0,31
PIA,3.0,MEDIUM,60.0,14
PIA,4.0,INTERMEDIATE,63.0,3
PIA,5.0,INTERMEDIATE,64.0,1
PIA,6.0,INTERMEDIATE,72.0,8
RUS,1.0,SOFT,4.0,4
RUS,2.0,INTERMEDIATE,10.0,6
RUS,3.0,SOFT,16.0,6
RUS,4.0,HARD,60.0,44
RUS,5.0,INTERMEDIATE,63.0,3
RUS,6.0,INTERMEDIATE,64.0,1
RUS,7.0,INTERMEDIATE,67.0,3
RUS,8.0,INTERMEDIATE,72.0,5
SAI,1.0,SOFT,2.0,2
SAI,2.0,INTERMEDIATE,10.0,8
SAI,3.0,SOFT,41.0,31
SAI,4.0,SOFT,60.0,19
SAI,5.0,INTERMEDIATE,64.0,4
SAI,6.0,INTERMEDIATE,72.0,8
SAR,1.0,SOFT,15.0,15
STR,1.0,SOFT,4.0,4
STR,2.0,INTERMEDIATE,9.0,5
STR,3.0,SOFT,16.0,7
STR,4.0,MEDIUM,34.0,18
STR,5.0,SOFT,60.0,26
STR,6.0,INTERMEDIATE,63.0,3
STR,7.0,INTERMEDIATE,64.0,1
STR,8.0,INTERMEDIATE,72.0,8
TSU,1.0,SOFT,1.0,1
TSU,2.0,INTERMEDIATE,10.0,9
TSU,3.0,SOFT,60.0,50
TSU,4.0,INTERMEDIATE,63.0,3
TSU,5.0,INTERMEDIATE,64.0,1
TSU,6.0,INTERMEDIATE,72.0,8
VER,1.0,SOFT,2.0,2
VER,2.0,INTERMEDIATE,11.0,9
VER,3.0,SOFT,49.0,38
VER,4.0,SOFT,61.0,12
VER,5.0,INTERMEDIATE,63.0,2
VER,6.0,WET,64.0,1
VER,7.0,INTERMEDIATE,72.0,8
ZHO,1.0,SOFT,1.0,1
ZHO,2.0,INTERMEDIATE,10.0,9
ZHO,3.0,MEDIUM,37.0,27
ZHO,4.0,SOFT,60.0,23
ZHO,5.0,INTERMEDIATE,63.0,3
ALB,1.0,MEDIUM,12.0,12
ALB,2.0,HARD,54.0,42
ALB,3.0,MEDIUM,71.0,17
ALO,1.0,MEDIUM,31.0,31
ALO,2.0,HARD,71.0,40
BOT,1.0,SOFT,15.0,15
BOT,2.0,HARD,43.0,28
BOT,3.0,MEDIUM,70.0,27
GAS,1.0,MEDIUM,32.0,32
GAS,2.0,HARD,71.0,39
HAM,1.0,SOFT,23.0,23
HAM,2.0,HARD,48.0,25
HAM,3.0,SOFT,72.0,24
HUL,1.0,MEDIUM,14.0,14
HUL,2.0,HARD,71.0,57
LEC,1.0,MEDIUM,24.0,24
LEC,2.0,HARD,72.0,48
MAG,1.0,HARD,40.0,40
MAG,2.0,MEDIUM,71.0,31
NOR,1.0,MEDIUM,28.0,28
NOR,2.0,HARD,72.0,44
OCO,1.0,MEDIUM,30.0,30
OCO,2.0,HARD,71.0,41
PER,1.0,MEDIUM,29.0,29
PER,2.0,HARD,72.0,43
PIA,1.0,MEDIUM,33.0,33
PIA,2.0,HARD,72.0,39
RIC,1.0,MEDIUM,29.0,29
RIC,2.0,HARD,71.0,42
RUS,1.0,MEDIUM,25.0,25
RUS,2.0,HARD,54.0,29
RUS,3.0,SOFT,72.0,18
SAI,1.0,MEDIUM,30.0,30
SAI,2.0,HARD,72.0,42
SAR,1.0,MEDIUM,22.0,22
SAR,2.0,HARD,71.0,49
STR,1.0,MEDIUM,30.0,30
STR,2.0,HARD,71.0,41
TSU,1.0,SOFT,14.0,14
TSU,2.0,MEDIUM,32.0,18
TSU,3.0,HARD,71.0,39
VER,1.0,MEDIUM,27.0,27
VER,2.0,HARD,72.0,45
ZHO,1.0,MEDIUM,18.0,18
ZHO,2.0,HARD,51.0,33
ZHO,3.0,SOFT,70.0,19
